,ACCIDENT_NO,date,day,hour,hour_bin,season,month,police_needed,node_id,lga,region,lat,long,dry,clear,fog,raining,strong winds,ambulance_needed
0,T20190000072,2019-02-01 00:05:00,4,0,0,1,2,1,36816,HUME,METROPOLITAN NORTH WEST REGION,-37.64382408,144.9288909,True,1.0,0.0,0.0,0.0,True
1,T20190000074,2019-02-01 01:45:00,4,1,0,1,2,1,41802,MONASH,METROPOLITAN SOUTH EAST REGION,-37.89069838,145.1638654,True,1.0,0.0,0.0,0.0,True
2,T20190000075,2019-02-01 00:49:00,4,0,0,1,2,1,340798,WHITTLESEA,METROPOLITAN NORTH WEST REGION,-37.63481886,145.0148743,True,1.0,0.0,0.0,0.0,True
3,T20190000076,2019-02-01 04:40:00,4,4,0,1,2,1,341004,DANDENONG,METROPOLITAN SOUTH EAST REGION,-37.95819052,145.1701001,True,1.0,0.0,0.0,0.0,True
4,T20190000078,2019-02-01 05:25:00,4,5,0,1,2,1,44300,WYNDHAM,METROPOLITAN NORTH WEST REGION,-37.8608752,144.6670219,True,1.0,0.0,0.0,0.0,True
5,T20190000079,2019-02-01 07:43:00,4,7,1,1,2,1,71833,GEELONG,SOUTH WESTERN REGION,-38.13392261,144.3411119,True,1.0,0.0,0.0,0.0,True
6,T20190000084,2019-02-01 11:25:00,4,11,1,1,2,1,342189,CAMPASPE,NORTHERN REGION,-36.12415553,144.7497487,True,1.0,0.0,0.0,0.0,True
7,T20190000092,2019-02-01 02:52:00,4,2,0,1,2,1,38061,WHITTLESEA,METROPOLITAN NORTH WEST REGION,-37.69597577,145.0223208,True,0.0,1.0,0.0,0.0,True
8,T20190000094,2019-02-01 13:12:00,4,13,2,1,2,1,40734,MONASH,METROPOLITAN SOUTH EAST REGION,-37.85809318,145.1362202,True,1.0,0.0,0.0,0.0,True
9,T20190000095,2019-02-01 13:25:00,4,13,2,1,2,1,340853,BANYULE,METROPOLITAN NORTH WEST REGION,-37.70322901,145.0897969,True,1.0,0.0,0.0,0.0,True
10,T20190000099,2019-02-01 15:00:00,4,15,2,1,2,1,65799,MELBOURNE,METROPOLITAN NORTH WEST REGION,-37.8117548,144.9564464,True,1.0,0.0,0.0,0.0,True
11,T20190000100,2019-02-01 14:18:00,4,14,2,1,2,1,1329,MOONEE VALLEY,METROPOLITAN NORTH WEST REGION,-37.74934345,144.9182307,True,1.0,0.0,0.0,0.0,True
12,T20190000107,2019-02-01 10:30:00,4,10,1,1,2,1,341088,GLENELG,SOUTH WESTERN REGION,-38.15476018,141.2753592,True,1.0,0.0,0.0,0.0,True
13,T20190000108,2019-02-01 14:35:00,4,14,2,1,2,1,52045,WELLINGTON,EASTERN REGION,-38.10201591,146.8639468,True,1.0,0.0,0.0,0.0,True
14,T20190000109,2019-02-01 17:20:00,4,17,2,1,2,1,341406,ALPINE,NORTH EASTERN REGION,-36.92992217,147.0632222,True,1.0,0.0,0.0,0.0,True
15,T20190000112,2019-02-01 20:10:00,4,20,3,1,2,1,36160,FRANKSTON,METROPOLITAN SOUTH EAST REGION,-38.14533717,145.1201354,True,1.0,0.0,0.0,0.0,True
16,T20190000119,2019-02-01 19:42:00,4,19,3,1,2,1,38064,DAREBIN,METROPOLITAN NORTH WEST REGION,-37.75857288,145.0215576,True,1.0,0.0,0.0,0.0,True
17,T20190000125,2019-02-01 13:00:00,4,13,2,1,2,0,340864,GEELONG,SOUTH WESTERN REGION,-38.16132006,144.5608105,True,1.0,0.0,0.0,0.0,True
18,T20190000126,2019-02-01 18:02:00,4,18,3,1,2,1,342114,WHITTLESEA,METROPOLITAN NORTH WEST REGION,-37.6459457,145.0404307,True,1.0,0.0,0.0,0.0,True
19,T20190000130,2019-03-01 10:40:00,4,10,1,2,3,1,340989,KINGSTON,METROPOLITAN SOUTH EAST REGION,-38.00755976,145.1413579,True,1.0,0.0,0.0,0.0,True
20,T20190000134,2019-03-01 10:20:00,4,10,1,2,3,1,340969,ALPINE,NORTH EASTERN REGION,-36.75556355,147.1993366,True,1.0,0.0,0.0,0.0,True
21,T20190000136,2019-03-01 12:25:00,4,12,2,2,3,1,359302,WYNDHAM,METROPOLITAN NORTH WEST REGION,-37.91563521,144.6882155,True,1.0,0.0,0.0,0.0,True
22,T20190000139,2019-02-01 12:10:00,4,12,2,1,2,1,341103,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,-37.5451034,145.8479957,True,1.0,0.0,0.0,0.0,True
23,T20190000148,2019-03-01 17:45:00,4,17,2,2,3,1,341329,CARDINIA,METROPOLITAN SOUTH EAST REGION,-38.06052873,145.5020497,True,1.0,0.0,0.0,0.0,True
24,T20190000150,2019-03-01 16:10:00,4,16,2,2,3,0,359138,KINGSTON,METROPOLITAN SOUTH EAST REGION,-37.95333988,145.0627233,True,1.0,0.0,0.0,0.0,True
25,T20190000151,2019-03-01 17:57:00,4,17,2,2,3,1,340972,CASEY,METROPOLITAN SOUTH EAST REGION,-38.04412702,145.3313131,True,1.0,0.0,0.0,0.0,True
26,T20190000152,2019-03-01 19:31:00,4,19,3,2,3,1,244464,BOROONDARA,METROPOLITAN SOUTH EAST REGION,-37.80715184,145.0298211,True,1.0,0.0,0.0,0.0,True
27,T20190000158,2019-03-01 16:45:00,4,16,2,2,3,1,345119,WELLINGTON,EASTERN REGION,-38.15360294,147.0829335,True,1.0,0.0,0.0,0.0,True
28,T20190000159,2019-03-01 18:50:00,4,18,3,2,3,1,343909,SOUTH GIPPSLAND,EASTERN REGION,-38.51781433,146.1781449,True,1.0,0.0,0.0,0.0,True
29,T20190000167,2019-03-01 20:50:00,4,20,3,2,3,1,341543,MELTON,METROPOLITAN NORTH WEST REGION,-37.67600104,144.5611694,True,1.0,0.0,0.0,0.0,True
30,T20190000170,2019-04-01 02:10:00,0,2,0,2,4,1,341454,ARARAT,WESTERN REGION,-37.30957925,143.0148605,True,1.0,0.0,0.0,0.0,True
31,T20190000178,2019-03-01 22:00:00,4,22,3,2,3,0,341407,ALPINE,NORTH EASTERN REGION,-36.72829122,146.9677993,True,1.0,0.0,0.0,0.0,True
32,T20190000182,2019-04-01 10:00:00,0,10,1,2,4,0,340952,HORSHAM,WESTERN REGION,-36.73351383,142.2054085,True,1.0,0.0,0.0,0.0,True
33,T20190000185,2019-04-01 13:00:00,0,13,2,2,4,1,39558,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,-37.81630593,145.1936647,True,1.0,0.0,0.0,0.0,True
34,T20190000190,2019-04-01 12:30:00,0,12,2,2,4,1,343941,FRANKSTON,METROPOLITAN SOUTH EAST REGION,-38.15531446,145.1810241,True,1.0,0.0,0.0,0.0,True
35,T20190000191,2019-04-01 10:00:00,0,10,1,2,4,1,340944,NILLUMBIK,METROPOLITAN NORTH WEST REGION,-37.67423724,145.1590609,True,1.0,0.0,0.0,0.0,True
36,T20190000197,2019-04-01 15:04:00,0,15,2,2,4,1,341556,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,-37.77334956,144.8860465,True,1.0,0.0,0.0,0.0,True
37,T20190000199,2019-04-01 12:30:00,0,12,2,2,4,1,84833,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,-37.80800999,144.8611699,True,1.0,0.0,0.0,0.0,True
38,T20190000203,2019-04-01 15:09:00,0,15,2,2,4,1,51327,SWAN HILL,NORTHERN REGION,-34.5866289,142.7765092,True,1.0,0.0,0.0,0.0,True
