day,hour_bin,lga,sky,scaled_ambulance,scaled_police
Friday,Afternoon,(LAKE MOUNTAIN),Clear,0.0006758729575119221,0.0
Friday,Afternoon,(MOUNT BAW BAW),Not clear,0.005693553794080435,0.0
Friday,Afternoon,(MOUNT BULLER),Clear,0.0006758729575119221,0.0
Friday,Afternoon,ALPINE,Clear,0.009462221405166909,0.004731110702583454
Friday,Afternoon,ARARAT,Clear,0.00675872957511922,0.00675872957511922
Friday,Afternoon,ARARAT,Not clear,0.01138710758816087,0.01138710758816087
Friday,Afternoon,BALLARAT,Clear,0.023655553512917274,0.01689682393779805
Friday,Afternoon,BALLARAT,Not clear,0.03985487655856304,0.0341613227644826
Friday,Afternoon,BANYULE,Clear,0.020952061682869585,0.018248569852821896
Friday,Afternoon,BANYULE,Not clear,0.0341613227644826,0.0341613227644826
Friday,Afternoon,BASS COAST,Clear,0.008786348447654985,0.007434602532631143
Friday,Afternoon,BAW BAW,Clear,0.018924442810333817,0.01351745915023844
Friday,Afternoon,BAW BAW,Not clear,0.0341613227644826,0.02277421517632174
Friday,Afternoon,BAYSIDE,Clear,0.02703491830047688,0.022303807597893428
Friday,Afternoon,BAYSIDE,Not clear,0.02277421517632174,0.01138710758816087
Friday,Afternoon,BENALLA,Clear,0.007434602532631143,0.00675872957511922
Friday,Afternoon,BENALLA,Not clear,0.005693553794080435,0.005693553794080435
Friday,Afternoon,BENDIGO,Clear,0.030414283088036495,0.024331426470429195
Friday,Afternoon,BENDIGO,Not clear,0.04554843035264348,0.028467768970402173
Friday,Afternoon,BOROONDARA,Clear,0.034469520833108024,0.025007299427941117
Friday,Afternoon,BOROONDARA,Not clear,0.04554843035264348,0.03985487655856304
Friday,Afternoon,BRIMBANK,Clear,0.04866285294085839,0.041228250408227245
Friday,Afternoon,BRIMBANK,Not clear,0.04554843035264348,0.03985487655856304
Friday,Afternoon,BULOKE,Clear,0.004055237745071532,0.004055237745071532
Friday,Afternoon,CAMPASPE,Clear,0.016220950980286128,0.014193332107750362
Friday,Afternoon,CAMPASPE,Not clear,0.01138710758816087,0.005693553794080435
Friday,Afternoon,CARDINIA,Clear,0.018924442810333817,0.012841586192726519
Friday,Afternoon,CARDINIA,Not clear,0.03985487655856304,0.028467768970402173
Friday,Afternoon,CASEY,Clear,0.07096666053875182,0.06150443913358491
Friday,Afternoon,CASEY,Not clear,0.11956462967568914,0.10817752208752826
Friday,Afternoon,CENTRAL GOLDFIELDS,Clear,0.0027034918300476883,0.002027618872535766
Friday,Afternoon,COLAC OTWAY,Clear,0.0054069836600953766,0.004731110702583454
Friday,Afternoon,COLAC OTWAY,Not clear,0.005693553794080435,0.005693553794080435
Friday,Afternoon,CORANGAMITE,Clear,0.0027034918300476883,0.002027618872535766
Friday,Afternoon,CORANGAMITE,Not clear,0.005693553794080435,0.005693553794080435
Friday,Afternoon,DANDENONG,Clear,0.051366344770906076,0.04055237745071533
Friday,Afternoon,DANDENONG,Not clear,0.11387107588160869,0.09109686070528696
Friday,Afternoon,DAREBIN,Clear,0.032441901960572256,0.028386664215500724
Friday,Afternoon,DAREBIN,Not clear,0.03985487655856304,0.0341613227644826
Friday,Afternoon,EAST GIPPSLAND,Clear,0.014193332107750362,0.010813967320190753
Friday,Afternoon,EAST GIPPSLAND,Not clear,0.04554843035264348,0.03985487655856304
Friday,Afternoon,FRANKSTON,Clear,0.03514539379061994,0.027710791257988802
Friday,Afternoon,FRANKSTON,Not clear,0.02277421517632174,0.02277421517632174
Friday,Afternoon,GANNAWARRA,Clear,0.0027034918300476883,0.002027618872535766
Friday,Afternoon,GANNAWARRA,Not clear,0.005693553794080435,0.005693553794080435
Friday,Afternoon,GEELONG,Clear,0.060152693218561065,0.051366344770906076
Friday,Afternoon,GEELONG,Not clear,0.06262909173488479,0.056935537940804345
Friday,Afternoon,GLEN EIRA,Clear,0.02635904534296496,0.01960031576784574
Friday,Afternoon,GLEN EIRA,Not clear,0.028467768970402173,0.028467768970402173
Friday,Afternoon,GLENELG,Clear,0.00337936478755961,0.00337936478755961
