Day of the Week,Part of Day,Region,Sky,Ambulance,Police
Friday,Afternoon,EASTERN REGION,Clear,0.7980595326667513,0.6555489018334029
Friday,Afternoon,EASTERN REGION,Not clear,1.50063694267516,1.200509554140128
Friday,Afternoon,METROPOLITAN NORTH WEST REGION,Clear,5.116131646917209,4.082929573375433
Friday,Afternoon,METROPOLITAN NORTH WEST REGION,Not clear,6.662828025477711,5.2222165605095565
Friday,Afternoon,METROPOLITAN SOUTH EAST REGION,Clear,5.978320963458968,4.638721033625492
Friday,Afternoon,METROPOLITAN SOUTH EAST REGION,Not clear,9.303949044585991,7.683261146496819
Friday,Afternoon,NORTH EASTERN REGION,Clear,1.1187084520417854,0.8194361272917535
Friday,Afternoon,NORTH EASTERN REGION,Not clear,0.7803312101910832,0.6602802547770704
Friday,Afternoon,NORTHERN REGION,Clear,0.9548212265834347,0.7838084695834165
Friday,Afternoon,NORTHERN REGION,Not clear,1.3205605095541408,1.0204331210191089
Friday,Afternoon,SOUTH WESTERN REGION,Clear,1.061704199708446,0.876440379625093
Friday,Afternoon,SOUTH WESTERN REGION,Not clear,1.3805859872611472,1.2605350318471344
Friday,Afternoon,WESTERN REGION,Clear,0.776682938041749,0.6484233702917355
Friday,Afternoon,WESTERN REGION,Not clear,0.900382165605096,0.8403566878980896
Friday,Evening,EASTERN REGION,Clear,0.34535829184398154,0.3384511260071019
Friday,Evening,EASTERN REGION,Not clear,1.7999121458379082,1.5544695804963753
Friday,Evening,METROPOLITAN NORTH WEST REGION,Clear,3.0184314707163984,2.631630183851139
Friday,Evening,METROPOLITAN NORTH WEST REGION,Not clear,6.381506698879856,4.9906654952778355
Friday,Evening,METROPOLITAN SOUTH EAST REGION,Clear,2.749052003078093,2.376065047886593
Friday,Evening,METROPOLITAN SOUTH EAST REGION,Not clear,6.954206018010099,5.808807379749613
Friday,Evening,NORTH EASTERN REGION,Clear,0.35917262351774076,0.29010096514894446
Friday,Evening,NORTH EASTERN REGION,Not clear,1.39084120360202,1.145398638260487
Friday,Evening,NORTHERN REGION,Clear,0.38680128686525933,0.34535829184398154
Friday,Evening,NORTHERN REGION,Not clear,1.0635844498133094,0.8999560729189541
Friday,Evening,SOUTH WESTERN REGION,Clear,0.6216449253191668,0.5663875986241297
Friday,Evening,SOUTH WESTERN REGION,Not clear,1.4726553920491976,1.3090270151548422
Friday,Evening,WESTERN REGION,Clear,0.524944603602852,0.44896577939717597
Friday,Evening,WESTERN REGION,Not clear,1.145398638260487,1.145398638260487
Friday,Morning,EASTERN REGION,Clear,0.6769830128185479,0.5627931070419253
Friday,Morning,EASTERN REGION,Not clear,0.7268029410800713,0.5814423528640571
